,Name,Stock Ticker,SEC filings,GICS Sector,GICS Sub Industry,Headquarters,Date first added,CIK,Founded,Latitude,Longitude
0,A.O. Smith Corp,AOS,reports,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/17,91142,1916,43.0389025,-87.9064736
1,Abbott Laboratories,ABT,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/64,1800,1888,42.325578,-87.8411818
2,AbbVie Inc.,ABBV,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/12,1551152,2013 (1888),42.325578,-87.8411818
3,ABIOMED Inc,ABMD,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",5/31/18,815094,1981,42.5750009,-70.932122
4,Accenture plc,ACN,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/11,1467373,1989,53.3498053,-6.2603097
5,Activision Blizzard,ATVI,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",8/31/15,718877,2008,34.0194543,-118.4911912
6,Adobe Systems Inc,ADBE,reports,Information Technology,Application Software,"San Jose, California",5/5/97,796343,1982,37.3382082,-121.8863286
7,Advance Auto Parts,AAP,reports,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",7/9/15,1158449,1932,37.2709704,-79.9414266
8,Advanced Micro Devices Inc,AMD,reports,Information Technology,Semiconductors,"Sunnyvale, California",3/20/17,2488,1969,37.36883,-122.0363496
9,AES Corp,AES,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/98,874761,1981,38.8816208,-77.0909809
10,Affiliated Managers Group Inc,AMG,reports,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",7/1/14,1004434,1993,42.5584283,-70.880049
11,AFLAC Inc,AFL,reports,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/99,4977,1955,32.4609764,-84.9877094
12,Agilent Technologies Inc,A,reports,Health Care,Health Care Equipment,"Santa Clara, California",6/5/00,1090872,1999,37.3541079,-121.9552356
13,Air Products & Chemicals Inc,APD,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/85,2969,1940,40.6022939,-75.4714098
14,Akamai Technologies Inc,AKAM,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/07,1086222,1998,42.3736158,-71.1097335
15,Alaska Air Group Inc,ALK,reports,Industrials,Airlines,"Seattle, Washington",5/13/16,766421,1985,47.6062095,-122.3320708
16,Albemarle Corp,ALB,reports,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",7/1/16,915913,1994,30.4514677,-91.1871466
17,Alexandria Real Estate Equities,ARE,reports,Real Estate,Office REITs,"Pasadena, California",3/20/17,1035443,1994,34.1477849,-118.1445155
18,Alexion Pharmaceuticals,ALXN,reports,Health Care,Biotechnology,"Cheshire, Connecticut",5/25/12,899866,1992,41.5083668,-72.9106202
19,Align Technology,ALGN,reports,Health Care,Health Care Supplies,"San Jose, California",6/19/17,1097149,1997,37.3382082,-121.8863286
20,Allegion,ALLE,reports,Industrials,Building Products,"Dublin, Ireland",12/2/13,1579241,1908,53.3498053,-6.2603097
21,"Allergan, Plc",AGN,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",4/12/99,1578845,1983,53.3498053,-6.2603097
22,Alliance Data Systems,ADS,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",12/23/13,1101215,1996,33.0198431,-96.6988856
23,Alliant Energy Corp,LNT,reports,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/16,352541,1917,43.0730517,-89.4012302
24,Allstate Corp,ALL,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/95,899051,1931,42.1056266,-87.8293789
25,Alphabet Inc Class C,GOOG,reports,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/06,1652044,1998,37.3860517,-122.0838511
26,Altria Group Inc,MO,reports,Consumer Staples,Tobacco,"Richmond, Virginia",,764180,1985,37.5407246,-77.4360481
27,Ameren Corp,AEE,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/91,1002910,1902,38.6270025,-90.1994042
28,American Airlines Group,AAL,reports,Industrials,Airlines,"Fort Worth, Texas",3/23/15,6201,1934,32.7554883,-97.3307658
29,American Electric Power,AEP,reports,Utilities,Electric Utilities,"Columbus, Ohio",,4904,1906,39.9611755,-82.9987942
30,American International Group,AIG,reports,Financials,Property & Casualty Insurance,"New York, New York",3/31/80,5272,1919,36.1023715,-115.1745559
31,American Tower Corp.,AMT,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/07,1053507,1995,42.3600825,-71.0588801
32,American Water Works Company Inc,AWK,reports,Utilities,Water Utilities,"Voorhees, New Jersey",3/4/16,1410636,1886,39.8519447,-74.961517
33,Ameriprise Financial,AMP,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/05,820027,1894,44.977753,-93.2650108
34,AmerisourceBergen Corp,ABC,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",8/30/01,1140859,1985,40.0756627,-75.4590816
35,AMETEK Inc.,AME,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/13,1037868,1930,40.045824,-75.4395931
36,Amgen Inc.,AMGN,reports,Health Care,Biotechnology,"Thousand Oaks, California",1/2/92,318154,1980,34.1705609,-118.8375937
37,Amphenol Corp,APH,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/08,820313,1932,41.4570108,-72.8230736
38,Anadarko Petroleum Corp,APC,reports,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",7/28/97,773910,1959,30.1658207,-95.4612625
39,"Analog Devices, Inc.",ADI,reports,Information Technology,Semiconductors,"Norwood, Massachusetts",10/12/99,6281,1965,42.1943909,-71.1989695
40,ANSYS,ANSS,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/17,1013462,1969,40.2625702,-80.1872797
41,Anthem Inc.,ANTM,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/02,1156039,2014 (1940s),39.768403,-86.158068
42,Aon plc,AON,reports,Financials,Insurance Brokers,"London,†United Kingdom",4/23/96,315293,1982 (1919),51.5073509,-0.1277583
43,Apache Corporation,APA,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/97,6769,1954,29.7604267,-95.3698028
44,Apartment Investment & Management,AIV,reports,Real Estate,Residential REITs,"Denver, Colorado",3/14/03,922864,1994 (1975),39.7392358,-104.990251
45,Applied Materials Inc.,AMAT,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",3/16/95,6951,1967,37.3541079,-121.9552356
46,Aptiv Plc,APTV,reports,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent,†United Kingdom",12/24/12,1521332,1994,51.386322,0.551438
47,Archer-Daniels-Midland Co,ADM,reports,Consumer Staples,Agricultural Products,"Decatur, Illinois",7/29/81,7084,1902,39.8403147,-88.9548001
48,Arconic Inc.,ARNC,reports,Industrials,Aerospace & Defense,"New York, New York",3/31/64,4281,2016,36.1023715,-115.1745559
49,Arista Networks,ANET,reports,Information Technology,Communications Equipment,"Santa Clara, California",8/28/18,1596532,2004,37.3541079,-121.9552356
50,Arthur J. Gallagher & Co.,AJG,reports,Financials,Insurance Brokers,"Itasca, Illinois",5/31/16,354190,,41.9750287,-88.0072909
51,Assurant,AIZ,reports,Financials,Multi-line Insurance,"New York, New York",4/10/07,1267238,,36.1023715,-115.1745559
52,AT&T Inc.,T,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",11/30/83,732717,1983,32.7766642,-96.7969879
53,Atmos Energy Corp,ATO,reports,Utilities,Gas Utilities,"Dallas, Texas",2/15/19,731802,1906,32.7766642,-96.7969879
54,Autodesk Inc.,ADSK,reports,Information Technology,Application Software,"San Rafael, California",12/1/89,769397,,37.9735346,-122.5310874
55,Automatic Data Processing,ADP,reports,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",3/31/81,8670,,40.8206555,-74.2937594
56,AutoZone Inc,AZO,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1/2/97,866787,,35.1495343,-90.0489801
57,"AvalonBay Communities, Inc.",AVB,reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",1/10/07,915912,,38.897704,-77.110225
58,Avery Dennison Corp,AVY,reports,Materials,Paper Packaging,"Glendale, California",12/31/87,8818,,34.1425078,-118.255075
59,"Baker Hughes, a GE Company",BHGE,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,1701605,2017,29.7604267,-95.3698028
60,Ball Corp,BLL,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/84,9389,,39.9205411,-105.0866504
61,Bank of America Corp,BAC,reports,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/76,70858,,35.2270869,-80.8431267
62,Baxter International Inc.,BAX,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/72,10456,1931,42.1711365,-87.8445119
63,BB&T Corporation,BBT,reports,Financials,Regional Banks,"Winston-Salem, North Carolina",12/4/97,92230,,36.0998596,-80.244216
64,Becton Dickinson,BDX,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/72,10795,1897,41.0167639,-74.2057011
65,Berkshire Hathaway,BRK_B,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/10,1067983,,41.2565369,-95.9345034
66,Best Buy Co. Inc.,BBY,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/99,764478,,44.8832982,-93.2830021
67,Biogen Inc.,BIIB,reports,Health Care,Biotechnology,"Weston, Massachusetts",11/13/03,875045,,42.3667625,-71.3031132
68,BlackRock,BLK,reports,Financials,Asset Management & Custody Banks,"New York, New York",4/4/11,1364742,,36.1023715,-115.1745559
69,Block H&R,HRB,reports,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",11/30/86,12659,,39.0997265,-94.5785667
70,Booking Holdings Inc,BKNG,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",11/6/09,1075531,,41.117744,-73.4081575
71,BorgWarner,BWA,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/11,908255,,42.6875323,-83.2341028
72,Boston Properties,BXP,reports,Real Estate,Office REITs,"Boston, Massachusetts",4/3/06,1037540,,42.3600825,-71.0588801
73,Boston Scientific,BSX,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",2/24/95,885725,,42.3466321,-71.5478167
74,Bristol-Myers Squibb,BMY,reports,Health Care,Health Care Distributors,"New York, New York",,14272,1989,36.1023715,-115.1745559
75,Broadcom,AVGO,reports,Information Technology,Semiconductors,"San Jose, California",5/8/14,1441634,,37.3382082,-121.8863286
76,Broadridge Financial Solutions,BR,reports,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",6/18/18,1383312,1962,40.7698453,-73.7090428
77,Brown-Forman Corp.,BF_B,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/82,14693,,38.2526647,-85.7584557
78,C. H. Robinson Worldwide,CHRW,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/07,1043277,,44.8546856,-93.470786
79,Cabot Oil & Gas,COG,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/08,858470,,29.7604267,-95.3698028
80,Cadence Design Systems,CDNS,reports,Information Technology,Application Software,"San Jose, California",9/18/17,813672,,37.3382082,-121.8863286
81,Campbell Soup,CPB,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,16732,1869,39.9259463,-75.1196199
82,Capital One Financial,COF,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/98,927628,1935,38.9187222,-77.2310925
83,Capri Holdings,CPRI,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",11/13/13,1530721,,36.1023715,-115.1745559
84,Cardinal Health Inc.,CAH,reports,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/97,721371,,40.0992294,-83.1140771
85,Carmax Inc,KMX,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",6/28/10,1170010,,37.5407246,-77.4360481
86,Carnival Corp.,CCL,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/98,815097,,25.7616798,-80.1917902
87,Cboe Global Markets,CBOE,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/17,1374310,,41.8781136,-87.6297982
88,CBRE Group,CBRE,reports,Real Estate,Real Estate Services,"Los Angeles, California",11/10/06,1138118,,34.0522342,-118.2436849
89,CBS Corp.,CBS,reports,Communication Services,Broadcasting,"New York, New York",9/1/94,813828,2006,36.1023715,-115.1745559
90,Celanese Corp.,CE,reports,Materials,Specialty Chemicals,"Irving, Texas",12/24/18,1306830,,32.8140177,-96.9488945
91,Celgene Corp.,CELG,reports,Health Care,Biotechnology,"Summit, New Jersey",11/6/06,816284,,40.7146376,-74.3646122
92,Centene Corporation,CNC,reports,Health Care,Managed Health Care,"St Louis, Missouri",3/30/16,1071739,,38.6270025,-90.1994042
93,CenterPoint Energy,CNP,reports,Utilities,Multi-Utilities,"Houston, Texas",7/31/85,1130310,,29.7604267,-95.3698028
94,CenturyLink Inc,CTL,reports,Communication Services,Integrated Telecommunication Services,"Monroe, Louisiana",3/25/99,18926,,32.5093109,-92.1193012
95,Cerner,CERN,reports,Health Care,Health Care Technology,"North Kansas City, Missouri",4/30/10,804753,,39.1429081,-94.5729781
96,CF Industries Holdings Inc,CF,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/08,1324404,,42.1711365,-87.8445119
97,Charles Schwab Corporation,SCHW,reports,Financials,Investment Banking & Brokerage,"San Francisco, California",6/2/97,316709,,37.7749295,-122.4194155
98,Charter Communications,CHTR,reports,Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/16,1091667,,41.0534302,-73.5387341
99,Chipotle Mexican Grill,CMG,reports,Consumer Discretionary,Restaurants,"Denver, Colorado",4/28/11,1058090,,39.7392358,-104.990251
100,Chubb Limited,CB,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/10,896159,,47.3768866,8.541694
101,Church & Dwight,CHD,reports,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/15,313927,,40.2599864,-74.7909125
102,CIGNA Corp.,CI,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",6/30/76,701221,,41.826488,-72.7300945
103,Cimarex Energy,XEC,reports,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",6/21/14,1168054,,39.7392358,-104.990251
104,Cincinnati Financial,CINF,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/97,20286,,39.3454673,-84.5603187
105,Cintas Corporation,CTAS,reports,Industrials,Diversified Support Services,"Mason, Ohio",3/1/01,723254,,39.3600586,-84.309939
106,Citigroup Inc.,C,reports,Financials,Diversified Banks,"New York, New York",5/31/88,831001,,36.1023715,-115.1745559
107,Citizens Financial Group,CFG,reports,Financials,Regional Banks,"Providence, Rhode Island",1/29/16,759944,,41.8239891,-71.4128343
108,Citrix Systems,CTXS,reports,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",12/1/99,877890,,26.1224386,-80.1373174
109,CME Group Inc.,CME,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/06,1156375,,41.8781136,-87.6297982
110,CMS Energy,CMS,reports,Utilities,Multi-Utilities,"Jackson, Michigan",5/3/99,811156,,42.245869,-84.4013462
111,Cognizant Technology Solutions,CTSH,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/06,1058290,,40.8932469,-74.0116536
112,Colgate-Palmolive,CL,reports,Consumer Staples,Household Products,"New York, New York",,21665,1806,36.1023715,-115.1745559
113,Comcast Corp.,CMCSA,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",9/18/15,1166691,,39.9525839,-75.1652215
114,Comerica Inc.,CMA,reports,Financials,Diversified Banks,"Dallas, Texas",12/1/95,28412,,32.7766642,-96.7969879
115,Conagra Brands,CAG,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/83,23217,,41.8781136,-87.6297982
116,Concho Resources,CXO,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2/22/16,1358071,,31.9973456,-102.0779146
117,ConocoPhillips,COP,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,1163165,2002,29.7604267,-95.3698028
118,Consolidated Edison,ED,reports,Utilities,Electric Utilities,"New York, New York",,1047862,1823,36.1023715,-115.1745559
119,Constellation Brands,STZ,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",7/5/05,16918,,42.9825633,-77.4088794
120,Copart Inc,CPRT,reports,Industrials,Diversified Support Services,"Dallas, Texas",7/2/18,900075,,32.7766642,-96.7969879
121,Corning Inc.,GLW,reports,Information Technology,Electronic Components,"Corning, New York",,24741,1851,42.1428521,-77.0546903
122,Costco Wholesale Corp.,COST,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/93,909832,,47.5301011,-122.0326191
123,"Coty, Inc",COTY,reports,Consumer Staples,Personal Products,"New York, New York",10/3/16,1024305,,36.1023715,-115.1745559
124,Crown Castle International Corp.,CCI,reports,Real Estate,Specialized REITs,"Houston, Texas",3/14/12,1051470,,29.7604267,-95.3698028
125,CSX Corp.,CSX,reports,Industrials,Railroads,"Jacksonville, Florida",9/30/67,277948,1980,30.3321838,-81.655651
126,Cummins Inc.,CMI,reports,Industrials,Industrial Machinery,"Columbus, Indiana",3/31/65,26172,1919,39.2014404,-85.9213796
127,CVS Health,CVS,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island",,64803,1996,42.0028761,-71.5147839
128,D. R. Horton,DHI,reports,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",,882184,1978,32.7554883,-97.3307658
129,Danaher Corp.,DHR,reports,Health Care,Health Care Equipment,"Washington, D.C.",,313616,1969,38.9071923,-77.0368707
130,Darden Restaurants,DRI,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944,1938,28.5383355,-81.3792365
131,DaVita Inc.,DVA,reports,Health Care,Health Care Facilities,"Denver, Colorado",7/31/08,927066,,39.7392358,-104.990251
132,Deere & Co.,DE,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",,315189,1837,41.5067003,-90.5151342
133,Delta Air Lines Inc.,DAL,reports,Industrials,Airlines,"Atlanta, Georgia",9/11/13,27904,,33.7489954,-84.3879824
134,Dentsply Sirona,XRAY,reports,Health Care,Health Care Supplies,"York, Pennsylvania",11/14/08,818479,,39.9625984,-76.727745
135,Devon Energy,DVN,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/00,1090012,,35.4675602,-97.5164276
136,Diamondback Energy,FANG,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",12/3/18,1539838,2007,31.9973456,-102.0779146
137,Digital Realty Trust Inc,DLR,reports,Real Estate,Specialized REITs,"San Francisco, California",5/18/16,1297996,,37.7749295,-122.4194155
138,Discover Financial Services,DFS,reports,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/07,1393612,,42.1675254,-87.897014
139,Discovery Inc. Class A,DISCA,reports,Communication Services,Broadcasting,"Silver Spring, Maryland",3/1/10,1437107,,38.9906657,-77.026088
140,Discovery Inc. Class C,DISCK,reports,Communication Services,Broadcasting,"Silver Spring, Maryland",8/7/14,1437107,,38.9906657,-77.026088
141,Dish Network,DISH,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",3/13/17,1001082,,39.5516553,-104.8588666
142,Dollar General,DG,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/12,29534,,36.3231066,-86.7133302
143,Dollar Tree,DLTR,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",12/19/11,935703,,36.7682088,-76.2874927
144,Dominion Energy,D,reports,Utilities,Electric Utilities,"Richmond, Virginia",,715957,1983,37.5407246,-77.4360481
145,Dover Corp.,DOV,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",10/31/85,29905,,41.8089191,-88.0111746
146,Dow Inc.,DOW,reports,Materials,Commodity Chemicals,"Midland, Michigan",4/1/19,1751788,2019,43.6155825,-84.2472116
147,DTE Energy Co.,DTE,reports,Utilities,Multi-Utilities,"Detroit, Michigan",,936340,1995,42.331427,-83.0457538
148,Duke Energy,DUK,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/76,1326160,,35.2270869,-80.8431267
149,Duke Realty Corp,DRE,reports,Real Estate,Industrial REITs,"Indianapolis, Indiana",7/26/17,783280,,39.768403,-86.158068
150,DXC Technology,DXC,reports,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",4/4/17,1688568,,38.9187222,-77.2310925
151,E*Trade,ETFC,reports,Financials,Investment Banking & Brokerage,"New York, New York",3/31/04,1015780,,36.1023715,-115.1745559
152,Eastman Chemical,EMN,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/94,915389,,36.548434,-82.5618186
153,Eaton Corporation,ETN,reports,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1551182,1911,53.3498053,-6.2603097
154,eBay Inc.,EBAY,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",,1065088,1995,37.3382082,-121.8863286
